# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra_str:         RA [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra:             RA [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec_str:        Dec [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec:            Dec [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_optmag:      Optical Magnitude [mag],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_optband:     Optical Magnitude Band,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_mnum:        Number of Moons in System,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,pl_rade,pl_mnum
45,BD+20 1790,b,1,7.78287,0.066,0.22,,6.37,Msini,,,07h23m43.59s,110.931612,+20d24m58.8s,20.416334,25.4,,,4410,0.63,0.71,,0
46,BD+20 2457,b,2,379.63,1.45,0.15,,21.42,Msini,,,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,,9.75,V (Johnson),4137,2.8,49,,0
47,BD+20 2457,c,2,621.99,2.01,0.18,,12.47,Msini,,,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,,9.75,V (Johnson),4137,2.8,49,,0
48,BD+20 274,b,1,578.2,1.3,0.21,,4.2,Msini,,,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,,9.36,V (Johnson),4296,0.8,17.3,,0
49,BD+20 594,b,1,41.6855,0.241,0,89.55,0.05129,Mass,0.199,7.89,03h34m36.23s,53.650966,+20d35m57.2s,20.599232,152.1,11.038,V (Johnson),5766,0.96,0.93,2.23,0
50,BD+48 738,b,1,392.6,1,0.2,,0.91,Msini,,,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,,9.14,V (Johnson),4414,0.74,11,,0
51,BD+49 828,b,1,2590,4.2,0.35,,1.6,Msini,,,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,,9.38,V (Johnson),4943,1.52,7.6,,0
52,BD-06 1339,b,2,3.8728,0.0428,0,,0.027,Msini,,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,9.7,V (Johnson),4324,0.7,,,0
53,BD-06 1339,c,2,125.94,0.435,0.31,,0.17,Msini,,,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,9.7,V (Johnson),4324,0.7,,,0
54,BD-08 2823,b,2,5.6,0.056,0.15,,0.045,Msini,,,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,9.88,V (Johnson),4746,0.74,,,0
55,BD-08 2823,c,2,237.6,0.68,0.19,,0.33,Msini,,,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,9.88,V (Johnson),4746,0.74,,,0
56,BD-10 3166,b,1,3.48777,0.0452,0.019,,0.458,Msini,,,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80,10.08,V (Johnson),5393,1.01,,,0
57,BD-11 4672,b,1,1667,2.28,0.05,,0.53,Msini,,,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,9.99,V (Johnson),4475,0.57,0.52,,0
58,BD-13 2130,b,1,714.3,2.1,0.21,,10.6,Msini,,,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766,9.45,V (Johnson),,2.4,,,0
59,BD-17 63,b,1,655.6,1.34,0.54,,5.1,Msini,,,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,37.54,9.566,V (Johnson),4714,0.74,0.69,,0
60,CFBDSIR J145829+101343,b,1,10037.5,2.6,,,10.5,Mass,,,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,,,580.5,0.02,,,0
61,CHXR 73,b,1,,210,,,12.569,Mass,,,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,,,,,0.35,,,0
62,CT Cha,b,1,,440,,,17,Mass,2.2,,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165,,,,,,24.66,0
63,CoRoT-1,b,1,1.5089557,,0,85.1,1.03,Mass,1.49,0.38,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,,13.6,V (Johnson),5950,0.95,1.11,16.7,0
64,CoRoT-10,b,1,13.2406,0.1055,0.53,88.55,2.75,Mass,0.97,3.7,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345,15.22,V (Johnson),5075,0.89,0.79,10.87,0
65,CoRoT-11,b,1,2.99433,0.0436,0,83.17,2.33,Mass,1.43,0.99,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560,,,6440,1.27,1.37,16.03,0
66,CoRoT-12,b,1,2.828042,0.04016,0.07,85.48,0.917,Mass,1.44,0.411,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150,15.515,V (Johnson),5675,1.08,1.12,16.14,0
67,CoRoT-13,b,1,4.03519,0.051,0,88.02,1.308,Mass,0.885,2.34,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060,15.039,V (Johnson),5945,1.09,1.01,9.92,0
68,CoRoT-14,b,1,1.51214,0.027,0,79.6,7.6,Mass,1.09,7.3,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340,16.033,V (Johnson),6035,1.13,1.21,12.22,0
69,CoRoT-16,b,1,5.35227,0.0618,0.33,85.01,0.535,Mass,1.17,0.44,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840,15.63,V (Johnson),5650,1.1,1.19,13.11,0
70,CoRoT-17,b,1,3.7681,0.0461,0,88.34,2.43,Mass,1.02,2.82,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920,15.46,V (Johnson),5740,1.04,1.59,11.43,0
71,CoRoT-18,b,1,1.9000693,0.0295,0.08,86.5,3.47,Mass,1.31,2.2,06h32m41.38s,98.17241,-00d01m53.7s,-0.031586,870,15,V (Johnson),5440,0.95,1,14.68,0
72,CoRoT-19,b,1,3.89713,0.0518,0.047,88,1.11,Mass,1.29,0.71,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770,14.007,V (Johnson),6090,1.21,1.65,14.46,0
73,CoRoT-2,b,1,1.7429935,0.02798,0.0143,88.08,3.47,Mass,1.466,1.47,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200,12.57,V (Johnson),5625,0.96,0.91,16.432,0
74,CoRoT-20,b,1,9.24285,0.0902,0.562,88.21,4.24,Mass,0.84,8.87,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,1230,14.66,V (Johnson),5880,1.14,1.02,9.42,0
75,CoRoT-22,b,1,9.75598,0.092,0.077,89.749,0.038,Mass,0.435,0.249,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592,13.944,V (Johnson),5939,1.1,1.14,4.88,0
76,CoRoT-23,b,1,3.6313,0.048,0.16,85.7,2.8,Mass,1.05,3,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600,15.63,V (Johnson),5900,1.14,1.61,11.77,0
77,CoRoT-24,b,2,5.1134,0.056,0,86.5,0.018,Mass,0.33,0.9,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,,,4950,0.91,0.86,3.7,0
78,CoRoT-24,c,2,11.759,0.098,0,89,0.088,Mass,0.44,1.3,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,,,4950,0.91,0.86,5,0
79,CoRoT-25,b,1,4.86069,0.0578,0,84.5,0.27,Mass,1.08,0.15,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000,,,6040,1.09,1.19,12.11,0
80,CoRoT-26,b,1,4.20474,0.0526,0,86.8,0.52,Mass,1.26,0.28,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670,,,5590,1.09,1.79,14.12,0
81,CoRoT-27,b,1,3.57532,0.0476,0.065,86.7,10.39,Mass,1.007,12.6,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,,15.54,V (Johnson),5900,1.05,1.08,11.287,0
82,CoRoT-28,b,1,5.20851,0.0603,0.047,88.1,0.484,Mass,0.955,0.69,18h34m45.20s,278.688338,+05d34m25.4s,5.57373,560,,,5150,1.01,1.78,10.705,0
83,CoRoT-29,b,1,2.85057,0.0386,0.082,87.3,0.85,Mass,0.9,1.45,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765,,,5260,0.97,0.9,10.088,0
84,CoRoT-3,b,1,4.2568,,0,85.9,21.66,Mass,1.01,26.4,19h28m13.26s,292.055263,+00d07m18.6s,0.12182,680,,,6740,1.37,1.56,11.32,0
85,CoRoT-4,b,1,9.20205,0.09,0,90,0.72,Mass,1.19,0.525,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,,,,6190,1.16,1.17,13.34,0
86,CoRoT-5,b,1,4.0378962,0.04947,0.09,85.83,0.467,Mass,1.388,0.217,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,,,,6100,1,1.19,15.558,0
87,CoRoT-6,b,1,8.886593,0.0855,0.1,89.07,2.96,Mass,1.166,2.32,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,,13.912,V (Johnson),6090,1.05,1.02,13.068,0
88,CoRoT-7,b,2,0.85359159,0.017016,0,80.78,0.018,Mass,0.141,7.5,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,11.668,V (Johnson),5259,0.91,0.82,1.585,0
89,CoRoT-7,c,2,3.698,0.046,0,80,0.02643,Mass,,,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,11.668,V (Johnson),5259,0.91,0.82,,0
90,CoRoT-8,b,1,6.21229,0.063,0,88.4,0.22,Mass,0.57,1.6,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380,14.8,V (Johnson),5080,0.88,0.77,6.39,0
91,CoRoT-9,b,1,95.2738,0.407,0.11,89.99,0.84,Mass,1.05,0.9,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,460,13.69,V (Johnson),5625,0.99,0.94,11.77,0
92,CoRoTID 223977153,b,1,6.71837,0.071,,89,0.15,Mass,0.57,1.1,06h40m46.84s,100.195183,+09d15m26.8s,9.257431,,,,5970,1.08,0.79,6.389,0
93,DENIS-P J082303.1-491201,b,1,246.36,0.36,0.345,56.6,28.5,Mass,,,08h23m03.13s,125.76305,-49d12m01.3s,-49.200359,20.77,,,,0.07,,,0
94,DH Tau,b,1,,330,,,11,Mass,,,04h29m41.56s,67.423158,+26d32m58.3s,26.54952,140,,,,0.33,0.27,,0
95,DP Leo,b,1,10220,8.19,0.39,,6.05,Msini,,,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,,0.69,,,0
96,EPIC 211822797,b,1,21.169619,,0.18,89.5,,,0.196,,08h41m38.49s,130.410365,+17d38m24.0s,17.640005,181.5,15.256,V (Johnson),3880,0.61,0.59,2.2,0
97,EPIC 220674823,b,2,0.571308,,0,80.2,,,0.13,,00h52m19.15s,13.07978,+10d47m40.9s,10.794699,253,12.102,V (Johnson),5590,0.93,0.83,1.46,0
98,EPIC 220674823,c,2,13.341245,,0,87.2,,,0.226,,00h52m19.15s,13.07978,+10d47m40.9s,10.794699,253,12.102,V (Johnson),5590,0.93,0.83,2.53,0
99,FU Tau,b,1,,800,,,16,Mass,,,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,140,,,2838,0.05,,,0
100,Fomalhaut,b,1,555530,160,0.87,55,,,,,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.69,1.16,V (Johnson),,2,,,0
101,GJ 1132,b,1,1.6289287,0.01533,,86.58,0.00513,Mass,0.128,3.1,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.04,13.49,V (Johnson),,0.18,0.26,1.43,0
102,GJ 1148,b,2,41.38,0.166,0.38,,0.30425,Msini,,,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.03,11.92,V (Johnson),,,,,0
103,GJ 1148,c,2,532.58,0.912,0.342,,0.21414,Msini,,,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.03,11.92,V (Johnson),,,,,0
104,GJ 1214,b,1,1.58040456,0.01411,,88.17,0.0197,Mass,0.254,1.49,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,,15.1,V (Johnson),3170,0.16,0.18,2.847,0
105,GJ 15 A,b,1,11.4433,0.0717,0,,0.017,Msini,,,00h18m22.89s,4.595356,+44d01m22.6s,44.022953,3.57,8.08,V (Johnson),3567,0.38,0.39,,0
106,GJ 163,b,3,8.63182,0.0607,0.073,,0.03335,Msini,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.81,V (Johnson),3500,0.4,,,0
107,GJ 163,c,3,25.63058,0.1254,0.099,,0.0214,Msini,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.81,V (Johnson),3500,0.4,,,0
108,GJ 163,d,3,603.95116,1.0304,0.373,,0.0925,Msini,,,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.81,V (Johnson),3500,0.4,,,0
109,GJ 179,b,1,2288,2.41,0.21,,0.82,Msini,,,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.12,12,V (Johnson),3370,0.36,0.38,,0
110,GJ 273,b,2,18.6498,0.091101,0.1,,0.00909,Msini,,,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,3.8,9.872,V (Johnson),3382,0.29,0.29,,0
111,GJ 273,c,2,4.7234,0.036467,0.17,,0.00371,Msini,,,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,3.8,9.872,V (Johnson),3382,0.29,0.29,,0
112,GJ 3021,b,1,133.71,0.49,0.511,,3.37,Msini,,,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,17.62,6.59,V (Johnson),5540,0.9,0.9,,0
113,GJ 3138,b,3,1.22003,0.0197,0.19,,0.0056,Msini,,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.48,10.98,V (Johnson),3717,0.68,0.5,,0
114,GJ 3138,c,3,5.974,0.057,0.11,,0.01315,Msini,,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.48,10.98,V (Johnson),3717,0.68,0.5,,0
115,GJ 3138,d,3,257.8,0.698,0.32,,0.03304,Msini,,,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.48,10.98,V (Johnson),3717,0.68,0.5,,0
116,GJ 317,b,1,692,1.15,0.11,45,2.5,Mass,,,08h40m59.22s,130.24673,-23d27m22.6s,-23.456289,15.1,11.97,V (Johnson),3510,0.42,,,0
117,GJ 328,b,1,4100,4.5,0.37,,2.3,Msini,,,08h55m07.62s,133.781754,+01d32m47.4s,1.546508,20.03,9.97,V (Johnson),3900,0.69,,,0
118,GJ 3293,b,4,30.5987,0.14339,0.06,,0.07406,Msini,,,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,15.77,11.962,V (Johnson),3466,0.42,0.4,,0
119,GJ 3293,c,4,122.6196,0.36175,0.11,,0.06636,Msini,,,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,15.77,11.962,V (Johnson),3466,0.42,0.4,,0
120,GJ 3293,d,4,48.1345,0.19394,0.12,,0.02391,Msini,,,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,15.77,11.962,V (Johnson),3466,0.42,0.4,,0
121,GJ 3293,e,4,13.2543,0.08208,0.21,,0.01032,Msini,,,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,15.77,11.962,V (Johnson),3466,0.42,0.4,,0
122,GJ 3323,b,2,5.3636,0.03282,0.23,,0.00636,Msini,,,05h01m57.43s,75.48928,-06d56m46.5s,-6.946263,5.32,12.22,V (Johnson),3159,0.16,0.12,,0
